
Rewrite b9b2106e7059ce672b18834340f354a18acd15c4 (1/578) (0 seconds passed, remaining 0 predicted)    
Rewrite fbb772bc8b468db280731fb4f0380c8d1b2e288d (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 8438db51919c7314bc670c96371c523bbc04b342 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite a930f7b8ec33a4258406fbc82db9e3aeff37e454 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 29894612ed526b9d865d364e06268119bc1461f5 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 5f81e3b0f3917c27d802f30f14e1e6f185246440 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 53da23f8574521176ed21e93e26d64b4d095be98 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 1670b75127004e522cc96425c162bb4d01de52b7 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 8c79c2cf22a60521c45720abe15e4be0f5f7c3a1 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 52bdb88e7406ea4e68b84635d56a55ebbfa6e74f (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 9c97e749e35dc08639e68bb3a86758319d2a7188 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 60dac3ca3505a30e5d7a0becfd19b0c201dfca07 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite cab73670986fa1b350cb9f7d07789e7a66fbd213 (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 56d803fb0228ead1e213cad1539f26cd73eb454d (27/578) (1 seconds passed, remaining 20 predicted)    
Rewrite 34186d593f931c27c571433c1c91b64808073519 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 5c5e797e0daf7cf36ef97f4306e99537e8dca321 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite db33e3d405efdad71e173463f1adf272607771f5 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 0642ae6ef01d9f09600dc858ec07195ea2493609 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 611df16244f9d096b5f42cc7fbaf74c0004c79fd (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 89fbb6223290e0831987d0d8c3284516703470f3 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 39d7d0cb58c5b847ddd50f5c19e10ac6c18eae35 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 727b795dedafc95cf307e3779f3b212dbec062ea (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite a5cf9b3d7d3a21dd06af09546d9260506b5afdad (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 426a3a2d8dbdcf2c5b2ee642319b59f2e6f574a0 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 8dc3e29a5d142c79174021a387ae53b50e6d0c09 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 01e9a844479212e4836cd0481d121d5573fe2ec2 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 6e4b120da71e0f839c97bac91bf7c156641d6300 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite a741ea9e0f26ed36b8cebefea5408f7a5167d44f (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 66d0b385b197876491002101a4ad80da46e8154f (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 668ef6df59a468411afd61f72a9caf284e34d068 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 62a3cbe1a17c307ad4e74b43ca09c9d319daf67a (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 74b664040d5e2fec68b81c1ddfdcb2025c849728 (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite e8be98efb4de29662689ce67b24460c420d553cd (55/578) (3 seconds passed, remaining 28 predicted)    
Rewrite 7626bfbcb594d42eba02ec47ca406e2c9976073a (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 478854b72d9af68b3aa23f0ed1236be23d1c68fd (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 69215d901d20a3e6a68ce9b12b8e25d522597368 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 14fb6fca483deba061af909fb35cf2578bfa424f (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 25402da477f764331b2af85f0ebfb73dec5eb0e6 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 59b2a2d604e3c16efd3d1a260db07217ee50c736 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite c255584a0f58f69eb116966bcb597630fb59134c (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 5913f6ed313f55c281e3397e712b3a94f5652bd5 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 2fa74430238f63099e550b85ac2c4e4c067147b1 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite f7834b7b471736814bb9aafb9e3d0ed80df0ad4e (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 53738c7bc60f5273b766a832f84808f242ec0683 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite d81b25a8a5162d6537e4768375bbf263bbe45201 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 63ee1b85d634dd47b59c5308959caaa625efd5a5 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite c941d781214d1e63e89769d177d0090c804e22a6 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 631565b0ad8aa361cbdf2dbc37ba892d3c57e8d1 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 87db92514782462168b6f1191b58fe11fd721840 (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite f8ad3afe05404ccc0ffbc5ccb4e4d773416e3aaa (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite daa35bd339b475b4608b5639f76108bfd332e3be (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 0db77df5b9dd0628474fa78c7bac65e8ea4ec6ea (74/578) (4 seconds passed, remaining 27 predicted)    
Rewrite 72d04445ce92d31bd00494f03d959b38b336f190 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 0ec07f913f9ce2d86c333bb0c6eb350d829ebdc5 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 54b88cefff477152bf81ed60388fb76726e976af (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite af454ed875bcd0e561076526d30473cf7afb2769 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 51b30df8bcb64a57d7060372d18b2fae329157bd (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 0c9701bfeec1c4eb76c6529d8aa819d7396d3a7b (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 592910fb3abc540d6b21fa4dc0bc0d77b20fd2b0 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 580ee13565f31d122514c63e5100a57fbc5b736d (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 79f2904fcd62977bdeb954aefa93b86db1b86bd8 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite a046f311545f837974d9fa744e02b77cc5c505ca (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 3f12ee761a9c4afd8cc21fec29a8280407e7fad2 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite aaefcf8dcbac5e3e4ffcdef2ce7933d4fa943618 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 5fe887b109687c80c5dd0376350b48cf607f80a7 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 4c89dc8129b38e4619a3c753708b6dada727f927 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 05f690f7c2ceb5741cb96069c5e181324d75c65c (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 8749db7a783869d2c5b7e5d4d0a021f0abdd9283 (93/578) (6 seconds passed, remaining 31 predicted)    
Rewrite 20c9266c7a1743c724ced8f615d5674c8790b0b6 (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 887d3e228449d98acba7a98ebafbe4ee050a811c (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite af5339f604997a72e168d95d89e4c50f6f79a923 (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite e82075618e74bcf05517f45e8f74f810dccf0d0b (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 0c0d5202d0841fceecf69717f7acfacd14d9afaf (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 353382d64f7ef782cc4ca0c7aca9c85d771d853f (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 30a2a28abea59709b2b3fc3b6cf73a0c8be713fa (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 9709a97bf43b68b53181121d4ac2a355947694ce (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 74d738d6b70369104751ed9e67459e0cf2795730 (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite ffa104d3202213456460161b7aee186ed1b94725 (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite ac529eedf8e08ed2f6564f7b1389e529e6ca4969 (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 334e3a5df8af1df404908eeceb2d27994760519b (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 3f90f9eca2cfc8b1d038f009aa19331942a3e3b3 (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 64f849705dd81ae92613c17e0a1bd7689e110f9b (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite bb06164c97c610253f456fba07b6142ef36407a7 (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite c752bfb968bbda5caf270de7d4d6646248f6fd3b (109/578) (7 seconds passed, remaining 30 predicted)    
Rewrite 30f2d2a8f255ba78d59e836c65808f81124b7dba (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 1332ccdaa9e726e03a53b1a35d0a3205d1fc8a87 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite e43ff0ddfc31b007a580c0e12e667b42fd290dda (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite ec83e07b55391056d78c57d2b042c4913595eea7 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 9b5dbe7e76e403e678c0a19882d7ffe298b3b6bd (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 8c59ca90e72576dd437c8b4b68342ab851a7e932 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 44c12c40dd2abbe7717811be16cdea0009d8b602 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite fae478d4254dbd4f5b10d193ab63024b6056fb59 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 60f6f4baccd5882737c31b0a198aaff208a1ba1b (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite aceefca6aa87b45dd452669a8f66d9e7190998cd (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 01384599397a39665b0ccdb8815871a513ef7049 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 19b85d89a528707bd3eb98755d01bd7de5e40dfe (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 4a015a7060ac565327e4d19d23d6a74e34d71c04 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite c11255f81157a8525a9cea2a5875c7d798442529 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 35ec0fc7885ff955bd063e3e332a00cffeede625 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 263a6d6bb0162f4ac5089b3428b10b6bc29a0ff4 (125/578) (8 seconds passed, remaining 28 predicted)    
Rewrite 52e70727d2c1eebe138743afeca717ceb2ead3d7 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 2217fce000509f102f40dead078bdf5abed1cfec (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 71e24ff3ba8fc4705fa79f43ceca21ea8a867428 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite ef9af9722ccf91d9e933037347755d895348657a (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 1eb7f7ac7ad7371c25540d403e1e3f96962f7ea6 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 1575b522568846340880f2bf71af05aaa0957a3d (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 0a6e389b2feb4000f6be341c892b3b3b99a14b82 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite cb8033d9150aba38339715baecea5a677beceab1 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite c2103e25ffd320d1929d9b0f58d075d8e3ad1d00 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite e1f63181c272caeebc525d2daa890f82ca2bbbc7 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite f70bd6d961b1f10670bafef1ff910532af9a871b (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 0e26fac0a24c48be717760b8fe1ad1302b0d9d01 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 3e869072baa2f77b0dfbeda3afa2c9931753bf58 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite f6c37d58995621fbb4440803dac2795df741b04e (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 23760478dbd1da4208030546f4d1882abe085776 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 1161e48e29559d924cca7d66494185119db8c468 (141/578) (9 seconds passed, remaining 27 predicted)    
Rewrite 488cef9aed6e381d0ccabbe3d77cb5df5eb7860e (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 89c35657188fb601cce152f55237e778f81e9000 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite bfcdf7614fdb1c20b5a44979e40c79e6c9531a8b (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 1f648cad8f33710cf7818155b4b6f5613d7efb62 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 460783c57ee19de9a379cc123eccc9df11cba609 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite db56efeb9af3f3e9f4fbb85379f12ed69d0ee94b (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite af3f366f6bcaaf788dc0a266aee5116dee77b6c6 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 06aac9fcd5572d1fe9a0c009bfc2c19e5c682609 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 9c3efa38779ca518e56838ce5257eab89642cf52 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 336e8057128daa6550e539c06ef22ef77e54a957 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite f3f676450274bc6c99df185007afcf462840e279 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 74b6de1909a5fc5fe446bbd9ac63a35eb8bac336 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite e09946d6942c9e04d2bff470116873ed6474c86e (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 762f947e3b21d3080da800156f7a9173ca456582 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite a9fbaeca371683232480990a43f6645370a1e819 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite b47fd59b8e23e1c748919c34c92b1939c2caaed3 (157/578) (10 seconds passed, remaining 26 predicted)    
Rewrite 0e38cfdeb0da3cda668d2e34047d2e824c325ed6 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 63a2c90b88780353a7c0276fa4f91fcdd5aad052 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite abf4757bee433a84b7aacc3a3b54101748f34afa (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 22372ab199e751abb6fcec6b1091c0f9b982e18c (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite a5173c42ff280171fed4dcefdcfccf891c08f8a8 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite ae392eb671a57b717d34253fcb3c3ee996d8649e (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 630df88df2ecb4d8e04919bfd9412982a6ffaf54 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite ad5ae1fcf93f28f934e78d863238d5b516d13370 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite e40d69084a0665904cc2d41e33145802cfbbdd99 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 4209b48c80142ba6ce365834614e98f6ae4a3759 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 5c010ebe17ae43d9aebe49d697c4940f406348b5 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 3944069985ee749f6d7d09a55cafc38fdd859946 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite ea7cadf4321f75a6caa9fbb12b76299d63591ee1 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 9be349fb8057556d93d8f93bbe3540406c9e040a (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 0fadc41f63f44fdcbec3ff55ef9a920f617c84c7 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite c31837b9f0e348f81375e2948a83dcb6c9a1bc31 (173/578) (11 seconds passed, remaining 25 predicted)    
Rewrite 45e63df4d8a1e6a9f456d760b9dc2f11240c86b0 (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite bf47869acd87df429684319592806dfc63ec1199 (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite a3474b7abadd26833a985540e6f5b60feec2fde1 (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite d77d86f8f49b9dabc390997f160d9befecd5a211 (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 1092162b7955e064819a1ed8276bae8dd47c76c3 (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 482033cf6072907026f485dcc5130b77bb89e950 (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 1f9506df268c71b786d6ea91aaeb587bec256cee (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 7d6b067f8e98c886d0d77e1cef76beefa86abd5f (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 1bc1d767e684e90ac4f9b12593a52d1dc5430de4 (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite d6237f34f4b038c709216f72724af3e8dbc71ffa (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 6737af0be6c7139db1f83884dc0d76d57f879c1e (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 303346bc1beb132b683d9ea0716a153d404b0bf5 (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite cfe0c52c983a772178be03ba3c22c8a74723c87a (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 45a992bd866a88055cfd2b62865f4159ce47586d (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite ae20425cdaa7fa681ba151a9d9dacaa7fa675fed (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite 9522e6fb03628dd8f2e9910be291649742d9030e (189/578) (12 seconds passed, remaining 24 predicted)    
Rewrite cb17a876b32fbbd33333b5833fa88b8ef831e203 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 565d9d94b82ca41544d30a99bba5dd7bd0bdb3fd (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite f5163591377ad9b24a468de84a77d5636df59631 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 593572e2faccdb1df4d06a62816d0c4c5c040700 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 592fff6fb0401d818f349cd1e7f56c7b504e3d46 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite f37618e9124c3b2f92ef6ed7733efbfd5c92fb77 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 387cb17260207b2f236731612893fc14b3a43913 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 461fd2303ccc3cf1f415f696ac2d4ac6347daa22 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite ae2c3691c23e8d55e564fb17d3324043b8847883 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 77fed736f01708f51469fc246f4d8eecf591549d (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite a993367098704161225a1a41af5dfe225ac3d53c (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 8f78712ee3df42e8fd055995bd032fc703bd681a (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 7456c8da2216185da0af161793077b73ae8f3cfa (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite a1f50a7d0e513803cc27497aee82f9d91e05239d (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 9d50515fa72cf0ba47cf02ddaf6d7c68d74292ca (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 8c4e4bf71086a267ec8c9c20eff143a121aa97a2 (205/578) (13 seconds passed, remaining 23 predicted)    
Rewrite 15bd82040fb7f27e3d6cc4a5160a967452c15efa (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite c314cd52178c0f86dbb6a5ebf7236dd70d63387e (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 466609ca376a047125948090a4233e983ce5577f (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite bff5560ae96e352b978f108c784805aab98fa96e (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 91aacb24c6d6dc988ed44816ac48fc91402c04f0 (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite dc6b19a2bde8ce91dbefd61efc3b75cf1e1675b8 (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 81cebfe4a3150b3b71c80cdb8e04f9643207cb5c (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite b6bffdb124eb3d7a15f569fef18b76b64128fcf3 (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite b9c269df2436a2dbeddabc0a1f4382ca5ed6cad9 (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 0bc5c82b91b0fdb538de12d949f0a45d389eebb0 (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 838e088953f625fd531d508267dae476395e94bf (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 81555c3e7441b3422fc6703a1c1dd5ef4a9c8d1e (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 2108f1d4d8842174e34f8fe8b325f25395deb645 (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 92ca4093ae920ec94da8d3496997c439ab4b3060 (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 06a30403a2fccb0086db690675f3a5fcd2a2febc (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite b94ea517444e7999e5ed82a1faf5af1f46208273 (221/578) (14 seconds passed, remaining 22 predicted)    
Rewrite 7458078ca331479c0267ce6ab738f9032f0ad4f4 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 22d2da0031e3516535d4cc5b7eccf3f01ca4f4ca (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite b1529e894a562bb39cfc51b2798675620d62dba5 (237/578) (15 seconds passed, remaining 21 predicted)    
Rewrite 75d9672cdc539f03c3387155b4c7b6e4c51eb518 (237/578) (15 seconds passed, remaining 21 predicted)    
